EpisodeRange,AvgReward,AvgWinRatio,AvgEpsilon,AvgSquaresRevealed,Rows,Cols,NumMines,TotalEpisodes
1-100,0.218,0.084,0.988,90.070,10,10,5,2000
101-200,0.100,0.076,0.956,90.260,10,10,5,2000
201-300,0.213,0.073,0.923,89.580,10,10,5,2000
301-400,0.280,0.084,0.889,87.360,10,10,5,2000
401-500,0.090,0.083,0.855,89.320,10,10,5,2000
501-600,0.271,0.081,0.819,89.410,10,10,5,2000
601-700,0.416,0.090,0.786,86.080,10,10,5,2000
701-800,0.307,0.098,0.752,87.120,10,10,5,2000
801-900,0.605,0.108,0.714,89.760,10,10,5,2000
901-1000,0.447,0.117,0.679,89.040,10,10,5,2000
1001-1100,0.551,0.124,0.643,90.380,10,10,5,2000
1101-1200,0.696,0.133,0.608,89.900,10,10,5,2000
1201-1300,0.423,0.139,0.574,89.540,10,10,5,2000
1301-1400,0.437,0.140,0.537,90.870,10,10,5,2000
1401-1500,0.784,0.147,0.499,89.710,10,10,5,2000
1501-1600,0.988,0.155,0.460,91.990,10,10,5,2000
1601-1700,0.775,0.166,0.420,91.720,10,10,5,2000
1701-1800,0.970,0.174,0.379,90.260,10,10,5,2000
1801-1900,1.029,0.182,0.339,93.000,10,10,5,2000
1901-2000,1.349,0.194,0.297,92.100,10,10,5,2000
