Episode,TotalReward,SquaresRevealed,Epsilon,WinRatio
1,-0.05434782608695643,87,1.0,0.0
2,-0.967391304347826,3,1.0,0.0
3,-0.032608695652173836,89,1.0,0.0
4,-0.9891304347826086,1,1.0,0.0
5,-0.26086956521739124,68,1.0,0.0
6,-0.2934782608695652,65,1.0,0.0
7,-0.13043478260869557,80,0.9999,0.0
8,-0.15217391304347827,78,0.9992000000000001,0.0
9,-0.06521739130434778,86,0.9988000000000001,0.0
10,-0.28260869565217384,66,0.9984000000000002,0.0
11,-0.021739130434782594,90,0.9981000000000002,0.0
12,-0.04347826086956508,88,0.9976000000000003,0.0
13,-0.07608695652173902,85,0.9971000000000003,0.0
14,-0.11956521739130432,81,0.9967000000000004,0.0
15,-0.14130434782608692,79,0.9963000000000004,0.0
16,-0.10869565217391297,82,0.9957000000000005,0.0
17,-0.08695652173913038,84,0.9954000000000005,0.0
18,-0.09782608695652173,83,0.9952000000000005,0.0
19,-0.9782608695652174,2,0.9949000000000006,0.0
20,-0.17391304347826086,76,0.9947000000000006,0.0
21,-0.07608695652173914,85,0.9945000000000006,0.0
22,-0.06521739130434778,86,0.9941000000000006,0.0
23,-0.19565217391304346,74,0.9939000000000007,0.0
24,-0.09782608695652162,83,0.9930000000000008,0.0
25,-0.06521739130434778,86,0.9928000000000008,0.0
26,-0.032608695652173614,89,0.9919000000000009,0.0
27,-0.08695652173913038,84,0.9916000000000009,0.0
28,-0.09782608695652151,83,0.990700000000001,0.0
29,-0.11956521739130443,81,0.9903000000000011,0.0
30,-0.032608695652173836,89,0.9900000000000011,0.0
31,-0.26086956521739135,68,0.9892000000000012,0.0
32,-0.10869565217391297,82,0.9889000000000012,0.0
33,-0.021739130434782594,90,0.9886000000000013,0.0
34,-0.010869565217391242,91,0.9881000000000013,0.0
35,-0.19565217391304346,74,0.9876000000000014,0.0
36,-0.09782608695652173,83,0.9873000000000014,0.0
37,-0.19565217391304335,74,0.9869000000000014,0.0
38,-0.14130434782608692,79,0.9864000000000015,0.0
39,-0.17391304347826086,76,0.9862000000000015,0.0
40,-0.07608695652173914,85,0.9860000000000015,0.0
41,-0.2065217391304348,73,0.9857000000000016,0.0
42,-0.06521739130434778,86,0.9855000000000016,0.0
43,-0.1630434782608695,77,0.9852000000000016,0.0
44,-0.06521739130434767,86,0.9846000000000017,0.0
45,-0.04347826086956519,88,0.9844000000000017,0.0
46,-0.04347826086956519,88,0.9842000000000017,0.0
47,-0.35869565217391297,59,0.9837000000000018,0.0
48,-0.3369565217391304,61,0.9832000000000019,0.0
49,-0.2717391304347825,67,0.9826000000000019,0.0
50,-0.15217391304347827,78,0.982100000000002,0.0
51,-0.3804347826086957,57,0.981900000000002,0.0
52,-0.09782608695652184,83,0.9811000000000021,0.0
53,-0.09782608695652173,83,0.9807000000000021,0.0
54,-0.9891304347826086,1,0.9805000000000021,0.0
55,-0.09782608695652151,83,0.9794000000000023,0.0
56,-0.09782608695652173,83,0.9790000000000023,0.0
57,-0.06521739130434778,86,0.9787000000000023,0.0
58,-0.18478260869565222,75,0.9785000000000024,0.0
59,-0.48913043478260865,47,0.9782000000000024,0.0
60,-0.10869565217391297,82,0.9779000000000024,0.0
61,-0.1847826086956521,75,0.9774000000000025,0.0
62,-0.06521739130434778,86,0.9767000000000026,0.0
63,-0.07608695652173914,85,0.9765000000000026,0.0
64,-0.11956521739130432,81,0.9762000000000026,0.0
65,-0.01086956521739113,91,0.9756000000000027,0.0
66,-0.1195652173913041,81,0.9750000000000028,0.0
67,-0.05434782608695643,87,0.9747000000000028,0.0
68,-0.032608695652173836,89,0.9741000000000029,0.0
69,-0.04347826086956519,88,0.9739000000000029,0.0
70,-0.08695652173913049,84,0.9737000000000029,0.0
71,-0.35869565217391297,59,0.9734000000000029,0.0
72,-0.10869565217391308,82,0.972900000000003,0.0
73,-0.9891304347826086,1,0.972700000000003,0.0
74,-0.06521739130434778,86,0.972500000000003,0.0
75,-0.19565217391304346,74,0.972300000000003,0.0
76,-0.1630434782608695,77,0.9721000000000031,0.0
77,-0.09782608695652173,83,0.9718000000000031,0.0
78,-0.1630434782608695,77,0.9711000000000032,0.0
79,-0.04347826086956519,88,0.9709000000000032,0.0
80,-0.9891304347826086,1,0.9707000000000032,0.0
81,-0.9891304347826086,1,0.9705000000000032,0.0
82,-0.9891304347826086,1,0.9703000000000033,0.0
83,-0.04347826086956519,88,0.9697000000000033,0.0
