Episode,TotalReward,SquaresRevealed,Epsilon,WinRatio,Win,SubStateSize,Gamma,LR,EpsilonStart,EpsilonMin,EpsilonDecay,BufferCapacity,BatchSize,TargetUpdateFreq
1,-0.07608695652173902,85,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
2,-0.8260869565217391,16,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
3,-0.3478260869565215,60,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
4,-0.05434782608695632,87,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
5,-0.07608695652173914,85,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
6,-0.9891304347826086,1,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
7,-0.10869565217391286,82,0.9999,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
8,-0.13043478260869568,80,0.9997,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
9,-0.15217391304347827,78,0.9992000000000001,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
10,-0.0652173913043479,86,0.9988000000000001,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
11,-0.05434782608695643,87,0.9984000000000002,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
12,-0.05434782608695654,87,0.9982000000000002,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
13,-0.18478260869565222,75,0.9980000000000002,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
14,-0.32608695652173914,62,0.9978000000000002,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
15,-0.17391304347826075,76,0.9974000000000003,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
16,-0.326086956521739,62,0.9967000000000004,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
17,-0.06521739130434778,86,0.9965000000000004,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
18,-0.05434782608695654,87,0.9963000000000004,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
19,-0.04347826086956519,88,0.9958000000000005,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
20,-0.032608695652173836,89,0.9952000000000005,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
21,-0.5108695652173914,45,0.9949000000000006,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
22,-0.2282608695652174,71,0.9947000000000006,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
23,-0.04347826086956519,88,0.9943000000000006,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
