EpisodeRange,AvgReward,AvgWinRatio,AvgEpsilon,AvgSquaresRevealed,Rows,Cols,NumMines,TotalEpisodes
1-100,-0.213,0.000,0.982,72.370,10,10,8,2000
101-200,-0.146,0.006,0.942,75.770,10,10,8,2000
201-300,-0.190,0.004,0.900,74.490,10,10,8,2000
301-400,-0.109,0.006,0.858,76.430,10,10,8,2000
401-500,-0.189,0.007,0.809,74.630,10,10,8,2000
501-600,-0.099,0.007,0.761,77.400,10,10,8,2000
601-700,-0.029,0.011,0.713,75.550,10,10,8,2000
701-800,-0.178,0.014,0.661,70.060,10,10,8,2000
801-900,0.005,0.017,0.609,75.910,10,10,8,2000
901-1000,-0.069,0.020,0.554,74.600,10,10,8,2000
1001-1100,-0.035,0.023,0.497,74.980,10,10,8,2000
1101-1200,-0.083,0.026,0.442,67.800,10,10,8,2000
1201-1300,0.146,0.029,0.385,80.600,10,10,8,2000
1301-1400,0.152,0.035,0.321,72.900,10,10,8,2000
1401-1500,0.085,0.039,0.254,75.000,10,10,8,2000
1501-1600,0.647,0.048,0.179,79.730,10,10,8,2000
1601-1700,0.800,0.063,0.107,74.500,10,10,8,2000
1701-1800,1.100,0.081,0.100,77.240,10,10,8,2000
1801-1900,1.258,0.101,0.100,75.270,10,10,8,2000
1901-2000,0.002,0.111,0.100,75.580,10,10,8,2000
