EpisodeRange,RollingAvgReward,RollingAvgWinRatio,RollingAvgEpsilon,RollingAvgSquaresRevealed,CumulativeAvgReward,CumulativeAvgWinRatio,CumulativeAvgEpsilon,CumulativeAvgSquaresRevealed,SubStateSize,Gamma,LR,EpsilonStart,EpsilonMin,EpsilonDecay,BufferCapacity,BatchSize,TargetUpdateFreq,Rows,Cols,NumMines,TotalEpisodes
1-100,-0.173,0.010,0.982,73.300,-0.173,0.010,0.982,73.300,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
101-200,-0.201,0.000,0.939,73.530,-0.187,0.005,0.961,73.415,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
201-300,-0.157,0.000,0.899,77.540,-0.177,0.003,0.940,74.790,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
301-400,-0.225,0.000,0.860,71.320,-0.189,0.003,0.920,73.922,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
401-500,-0.178,0.000,0.814,75.590,-0.187,0.002,0.899,74.256,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
501-600,-0.181,0.000,0.768,75.360,-0.186,0.002,0.877,74.440,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
601-700,-0.106,0.010,0.721,79.510,-0.174,0.003,0.855,75.164,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
701-800,-0.200,0.000,0.675,73.630,-0.178,0.003,0.832,74.972,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
801-900,-0.142,0.010,0.629,76.210,-0.174,0.003,0.810,75.110,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
901-1000,-0.136,0.000,0.583,79.530,-0.170,0.003,0.787,75.552,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
1001-1100,-0.158,0.010,0.538,74.690,-0.169,0.004,0.764,75.474,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
1101-1200,-0.068,0.030,0.489,77.470,-0.160,0.006,0.741,75.640,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
1201-1300,-0.111,0.010,0.434,79.020,-0.157,0.006,0.718,75.900,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
1301-1400,0.031,0.050,0.378,81.080,-0.143,0.009,0.693,76.270,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
1401-1500,0.246,0.120,0.315,81.520,-0.117,0.017,0.668,76.620,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
1501-1600,0.149,0.120,0.254,72.570,-0.101,0.023,0.642,76.367,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
1601-1700,0.346,0.160,0.190,79.710,-0.074,0.031,0.616,76.564,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
1701-1800,0.789,0.300,0.124,81.830,-0.026,0.046,0.588,76.856,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
1801-1900,1.268,0.440,0.058,87.210,0.042,0.067,0.560,77.401,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
1901-2000,1.438,0.500,0.050,86.320,0.112,0.088,0.535,77.847,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
2001-2100,0.975,0.370,0.050,79.580,0.153,0.102,0.512,77.930,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
2101-2200,1.381,0.510,0.050,78.270,0.209,0.120,0.491,77.945,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
2201-2300,1.447,0.510,0.050,84.360,0.262,0.137,0.472,78.224,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
2301-2400,1.304,0.470,0.050,82.270,0.306,0.151,0.454,78.392,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
2401-2500,1.459,0.520,0.050,82.690,0.352,0.166,0.438,78.564,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
2501-2600,1.446,0.520,0.050,81.490,0.394,0.180,0.423,78.677,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
2601-2700,1.222,0.430,0.050,85.720,0.425,0.189,0.409,78.938,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
2701-2800,0.914,0.340,0.050,82.280,0.442,0.194,0.396,79.057,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
2801-2900,1.161,0.430,0.050,80.130,0.467,0.202,0.384,79.094,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
2901-3000,1.214,0.440,0.050,82.230,0.492,0.210,0.373,79.199,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
3001-3100,1.180,0.430,0.050,81.860,0.514,0.217,0.363,79.285,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
3101-3200,1.638,0.570,0.050,85.390,0.549,0.228,0.353,79.475,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
3201-3300,1.155,0.410,0.050,85.120,0.568,0.234,0.344,79.646,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
3301-3400,1.255,0.470,0.050,77.700,0.588,0.241,0.335,79.589,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
3401-3500,1.385,0.490,0.050,84.210,0.611,0.248,0.327,79.721,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
3501-3600,1.005,0.370,0.050,82.320,0.621,0.251,0.319,79.793,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
3601-3700,0.995,0.370,0.050,81.390,0.632,0.255,0.312,79.836,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
3701-3800,1.112,0.400,0.050,83.880,0.644,0.258,0.305,79.943,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
3801-3900,0.809,0.320,0.050,78.120,0.648,0.260,0.299,79.896,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
3901-4000,0.973,0.350,0.050,84.870,0.657,0.262,0.292,80.020,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
4001-4100,0.811,0.310,0.050,81.030,0.660,0.263,0.286,80.045,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
4101-4200,0.878,0.320,0.050,84.430,0.665,0.265,0.281,80.150,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
4201-4300,0.734,0.270,0.050,85.010,0.667,0.265,0.275,80.263,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
4301-4400,1.054,0.390,0.050,81.360,0.676,0.268,0.270,80.287,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
4401-4500,1.080,0.390,0.050,83.700,0.685,0.270,0.265,80.363,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
4501-4600,0.992,0.370,0.050,81.180,0.692,0.273,0.261,80.381,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
4601-4700,0.999,0.370,0.050,81.810,0.698,0.275,0.256,80.411,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
4701-4800,0.925,0.330,0.050,86.010,0.703,0.276,0.252,80.528,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
4801-4900,0.853,0.330,0.050,79.400,0.706,0.277,0.248,80.505,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
4901-5000,0.876,0.330,0.050,81.520,0.709,0.278,0.244,80.525,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,5000
