Episode,TotalReward,SquaresRevealed,Epsilon,WinRatio,Win,SubStateSize,Gamma,LR,EpsilonStart,EpsilonMin,EpsilonDecay,BufferCapacity,BatchSize,TargetUpdateFreq,EpisodeTime,AverageMoveTime
1,-0.05434782608695632,87,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,0.0,0.0
2,-0.13043478260869557,80,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,0.0,0.0
3,-0.9782608695652174,2,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,0.0,0.0
4,-0.1413043478260868,79,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,0.0,0.0
5,-0.17391304347826086,76,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,0.015620946884155273,0.0031241893768310545
6,-0.11956521739130421,81,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,0.0,0.0
7,-0.9891304347826086,1,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,0.015623092651367188,0.007811546325683594
8,-0.17391304347826086,76,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,0.0,0.0
9,-0.021739130434782372,90,0.9993000000000001,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,2.0080699920654297,0.2510087490081787
10,-0.17391304347826086,76,0.9990000000000001,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,0.6300544738769531,0.21001815795898438
