Episode,TotalReward,SquaresRevealed,Epsilon,WinRatio,Win,SubStateSize,Gamma,LR,EpsilonStart,EpsilonMin,EpsilonDecay,BufferCapacity,BatchSize,TargetUpdateFreq
1,-0.0434782608695653,88,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
2,-0.06521739130434778,86,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
3,-0.03260869565217395,89,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
4,-0.09782608695652084,83,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
5,-0.20652173913043448,73,0.9994000000000001,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
6,-0.04347826086956519,88,0.9989000000000001,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
7,-0.5978260869565217,37,0.9986000000000002,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
8,-0.032608695652173836,89,0.9983000000000002,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
9,-0.021739130434782594,90,0.9980000000000002,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
10,-0.9891304347826086,1,0.9978000000000002,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
11,-0.0652173913043479,86,0.9975000000000003,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
12,-0.04347826086956519,88,0.9969000000000003,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
13,-0.9891304347826086,1,0.9967000000000004,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
14,-0.07608695652173914,85,0.9965000000000004,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
15,-0.05434782608695643,87,0.9961000000000004,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
16,-0.4130434782608695,54,0.9958000000000005,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
17,-0.10869565217391286,82,0.9952000000000005,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
18,-0.05434782608695654,87,0.9944000000000006,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
19,-0.17391304347826086,76,0.9941000000000006,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
20,-0.6521739130434783,32,0.9937000000000007,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
21,-0.09782608695652173,83,0.9931000000000008,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
22,-0.07608695652173914,85,0.9928000000000008,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
23,-0.9782608695652174,2,0.9925000000000008,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
24,-0.10869565217391297,82,0.9922000000000009,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
25,-0.07608695652173925,85,0.9915000000000009,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
26,-0.2282608695652174,71,0.991300000000001,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
27,-0.04347826086956519,88,0.990800000000001,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
28,-0.05434782608695654,87,0.9901000000000011,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
29,-0.07608695652173902,85,0.9896000000000011,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
30,-0.10869565217391297,82,0.9891000000000012,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
31,-0.13043478260869568,80,0.9889000000000012,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
32,-0.2717391304347826,67,0.9887000000000012,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
33,-0.08695652173913049,84,0.9883000000000013,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
