Episode,TotalReward,SquaresRevealed,Epsilon,WinRatio,Win,SubStateSize,Gamma,LR,EpsilonStart,EpsilonMin,EpsilonDecay,BufferCapacity,BatchSize,TargetUpdateFreq,EpisodeTime,AverageMoveTime
1,4.45652173913044,87,1,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0,0
2,3.58695652173913,79,1,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0,0
3,3.69565217391304,80,1,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.015623092651367,0.002603848775228
4,3.91304347826087,82,1,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0,0
5,3.91304347826087,82,1,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.015621423721314,0.005207141240438
6,4.34782608695652,86,1,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0,0
7,4.13043478260869,84,1,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.015619993209839,0.003123998641968
8,4.67391304347826,89,0.9996,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.924328804016113,0.184865760803223
9,3.15217391304348,75,0.9988,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.87225842475891,0.234032303094864
10,4.56521739130435,88,0.9985,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.594948053359985,0.198316017786662
11,3.69565217391304,80,0.9981,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.795151472091675,0.198787868022919
12,3.15217391304348,75,0.9979,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.382405757904053,0.191202878952026
13,4.34782608695652,86,0.9974,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.97487998008728,0.194975996017456
14,3.04347826086956,74,0.9969,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.93325662612915,0.18665132522583
