EpisodeRange,RollingAvgReward,RollingAvgWinRatio,RollingAvgEpsilon,RollingAvgSquaresRevealed,CumulativeAvgReward,CumulativeAvgWinRatio,CumulativeAvgEpsilon,CumulativeAvgSquaresRevealed,SubStateSize,Gamma,LR,EpsilonStart,EpsilonMin,EpsilonDecay,BufferCapacity,BatchSize,TargetUpdateFreq,Rows,Cols,NumMines,TotalEpisodes
1-100,0.494,0.180,0.988,91.600,0.494,0.180,0.988,91.600,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
101-200,0.487,0.170,0.962,93.750,0.490,0.175,0.975,92.675,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
201-300,0.293,0.120,0.933,89.610,0.425,0.157,0.961,91.653,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
301-400,0.393,0.150,0.905,90.530,0.417,0.155,0.947,91.373,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
401-500,0.522,0.190,0.874,91.370,0.438,0.162,0.932,91.372,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
501-600,0.658,0.230,0.846,92.960,0.475,0.173,0.918,91.637,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
601-700,0.596,0.210,0.817,92.690,0.492,0.179,0.904,91.787,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
701-800,0.565,0.200,0.789,92.640,0.501,0.181,0.889,91.894,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
801-900,0.583,0.200,0.761,94.340,0.510,0.183,0.875,92.166,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
901-1000,0.586,0.210,0.733,91.770,0.518,0.186,0.861,92.126,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
1001-1100,0.457,0.160,0.704,93.750,0.512,0.184,0.847,92.274,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
1101-1200,0.667,0.230,0.676,93.810,0.525,0.188,0.832,92.402,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
1201-1300,0.803,0.280,0.647,92.470,0.546,0.195,0.818,92.407,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
1301-1400,0.901,0.320,0.618,90.370,0.572,0.204,0.804,92.261,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
1401-1500,0.819,0.280,0.589,93.980,0.588,0.209,0.789,92.376,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
1501-1600,1.024,0.350,0.559,93.470,0.615,0.217,0.775,92.444,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
1601-1700,0.819,0.280,0.530,93.950,0.627,0.221,0.761,92.533,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
1701-1800,0.972,0.330,0.496,94.280,0.647,0.227,0.746,92.630,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
1801-1900,0.943,0.330,0.462,91.490,0.662,0.233,0.731,92.570,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
1901-2000,1.143,0.390,0.430,93.380,0.686,0.240,0.716,92.611,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
2001-2100,1.311,0.450,0.397,92.260,0.716,0.250,0.701,92.594,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
2101-2200,0.960,0.330,0.364,93.130,0.727,0.254,0.685,92.618,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
2201-2300,1.399,0.480,0.330,92.030,0.756,0.264,0.670,92.593,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
2301-2400,1.409,0.480,0.296,93.040,0.783,0.273,0.654,92.611,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
2401-2500,1.480,0.500,0.259,94.070,0.811,0.282,0.639,92.670,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
2501-2600,1.400,0.480,0.222,92.150,0.834,0.290,0.623,92.650,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
2601-2700,1.853,0.620,0.186,95.310,0.872,0.302,0.606,92.748,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
2701-2800,1.905,0.640,0.149,94.540,0.909,0.314,0.590,92.812,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
2801-2900,1.822,0.610,0.114,95.270,0.940,0.324,0.574,92.897,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
2901-3000,1.866,0.630,0.079,93.650,0.971,0.334,0.557,92.922,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
3001-3100,2.206,0.740,0.051,94.680,1.011,0.347,0.541,92.979,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
3101-3200,2.155,0.720,0.050,95.490,1.047,0.359,0.525,93.057,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
3201-3300,1.985,0.670,0.050,93.590,1.075,0.368,0.511,93.073,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
3301-3400,1.714,0.580,0.050,93.530,1.094,0.375,0.498,93.087,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
3401-3500,1.582,0.530,0.050,95.230,1.108,0.379,0.485,93.148,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
3501-3600,1.090,0.380,0.050,91.160,1.107,0.379,0.473,93.093,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
3601-3700,1.553,0.530,0.050,92.460,1.119,0.383,0.461,93.076,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
3701-3800,1.183,0.420,0.050,88.570,1.121,0.384,0.450,92.957,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
3801-3900,1.252,0.430,0.050,92.400,1.124,0.385,0.440,92.943,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
3901-4000,1.282,0.440,0.050,92.340,1.128,0.387,0.430,92.928,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,4,4000
